alpha,CL,CD,Cm,Max_Camber,Camber_Pos,Thickness,Re,Airfoil_Name,CL_max,alpha_stall
0.6,0.0169,0.01228,0.0074,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
0.8,0.0249,0.01245,0.0092,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
1.0,0.0344,0.01267,0.0107,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
1.2,0.0471,0.01294,0.0114,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
1.4,0.103,0.01317,0.0042,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
1.6,0.1586,0.01326,-0.0026,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
1.8,0.2193,0.0132,-0.0102,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
2.0,0.2713,0.013,-0.0155,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
2.2,0.3145,0.01274,-0.0187,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
2.4,0.3443,0.01254,-0.0191,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
2.6,0.367,0.0124,-0.018,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
2.8,0.3858,0.01234,-0.0161,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
3.0,0.4029,0.01237,-0.014,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
3.2,0.4194,0.01247,-0.0119,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
3.4,0.4357,0.01265,-0.0099,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
3.6,0.4519,0.0129,-0.008,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
3.8,0.4679,0.01322,-0.0063,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
4.0,0.4836,0.01362,-0.0047,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
4.2,0.4988,0.01414,-0.0031,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
4.4,0.5132,0.01487,-0.0016,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
4.6,0.5269,0.01592,-0.0002,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
4.8,0.5416,0.01705,0.001,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
5.0,0.5576,0.01809,0.0021,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
5.2,0.5746,0.01909,0.0031,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
5.4,0.5923,0.02008,0.0039,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
5.6,0.6106,0.02111,0.0047,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
5.8,0.6296,0.02224,0.0055,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
6.0,0.6487,0.02348,0.0061,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
6.2,0.6681,0.02465,0.0068,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
6.4,0.6871,0.02614,0.0075,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
6.6,0.7063,0.02761,0.0083,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
6.8,0.7249,0.02922,0.0088,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
7.0,0.7416,0.03115,0.0098,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
7.2,0.7575,0.03331,0.011,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
7.4,0.7718,0.03578,0.0121,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
7.6,0.7848,0.03825,0.0133,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
7.8,0.7967,0.04076,0.0143,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
8.0,0.803,0.04471,0.0156,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
8.2,0.8062,0.04913,0.0168,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
8.4,0.8124,0.05304,0.0174,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
8.6,0.8252,0.0567,0.0178,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
9.4,0.7001,0.09899,-0.0063,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
9.6,0.6771,0.1036,-0.0127,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
9.8,0.6904,0.10605,-0.0109,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
10.0,0.6947,0.10993,-0.0109,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
10.2,0.6729,0.11413,-0.017,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
10.4,0.6822,0.11682,-0.0163,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
10.6,0.6969,0.12026,-0.0141,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
10.8,0.6733,0.12435,-0.0208,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
11.0,0.6778,0.12719,-0.0212,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
11.2,0.7006,0.13033,-0.0172,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
11.4,0.6786,0.1341,-0.0238,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
11.6,0.6784,0.13712,-0.0254,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
11.8,0.6936,0.13982,-0.0236,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
12.0,0.7031,0.14392,-0.0229,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
12.2,0.685,0.14693,-0.0289,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
12.4,0.686,0.14991,-0.0305,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
12.6,0.6943,0.1528,-0.0305,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
12.8,0.7208,0.15736,-0.0261,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
13.0,0.7048,0.15988,-0.0319,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
13.2,0.6979,0.16236,-0.0356,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
13.4,0.7021,0.16512,-0.0367,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
13.6,0.7187,0.16849,-0.035,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
13.8,0.7284,0.17292,-0.0349,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
14.0,0.7171,0.17452,-0.0398,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
14.2,0.7173,0.177,-0.0423,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
14.4,0.7224,0.17975,-0.0435,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
14.6,0.7307,0.18266,-0.0439,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
14.8,0.758,0.1892,-0.0399,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
15.0,0.7532,0.1913,-0.0437,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
15.2,0.7455,0.19204,-0.0481,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
15.4,0.7469,0.19427,-0.0508,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
15.6,0.7524,0.19693,-0.0523,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
15.8,0.7598,0.19964,-0.0531,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
16.0,0.7763,0.20439,-0.0514,0.0,0.0,0.09,100000,NACA 0009,0.8252,8.6
-10.0,-0.3886,0.10667,-0.027,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-9.8,-0.3814,0.10413,-0.0267,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-9.6,-0.4076,0.10079,-0.0303,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-9.4,-0.4059,0.09706,-0.0305,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-9.2,-0.3858,0.09488,-0.0285,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-9.0,-0.3932,0.09192,-0.0296,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-8.8,-0.4479,0.0872,-0.0357,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-8.6,-0.3939,0.08565,-0.0299,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-8.4,-0.3968,0.0828,-0.0301,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-8.2,-0.4534,0.07858,-0.034,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-8.0,-0.4328,0.07556,-0.0318,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-7.8,-0.4316,0.07286,-0.0307,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-7.6,-0.4468,0.06995,-0.0298,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-7.4,-0.468,0.06655,-0.0295,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-7.2,-0.4983,0.06203,-0.0299,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-7.0,-0.6295,0.02675,-0.0341,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-6.8,-0.6215,0.02445,-0.0325,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-6.6,-0.6076,0.02313,-0.0316,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-6.4,-0.5946,0.0219,-0.0304,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-6.2,-0.5818,0.0203,-0.0292,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-6.0,-0.5674,0.01885,-0.0282,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-5.8,-0.5522,0.01794,-0.0273,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-5.6,-0.5368,0.01685,-0.0263,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-5.4,-0.5207,0.01583,-0.0257,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-5.2,-0.5042,0.015,-0.0248,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-5.0,-0.4873,0.01415,-0.0243,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-4.8,-0.47,0.01336,-0.0237,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-4.6,-0.4531,0.01278,-0.0231,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-4.4,-0.4362,0.01214,-0.0225,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-4.2,-0.4194,0.01159,-0.022,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-4.0,-0.4027,0.01109,-0.0215,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-3.8,-0.3861,0.01066,-0.021,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-3.6,-0.3695,0.01029,-0.0205,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-3.4,-0.3478,0.00991,-0.0211,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-3.2,-0.3123,0.00949,-0.0242,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-3.0,-0.2762,0.00908,-0.0273,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-2.8,-0.2435,0.00873,-0.0298,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-2.6,-0.2111,0.00835,-0.0322,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-2.4,-0.1769,0.00797,-0.0347,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-2.2,-0.1491,0.0077,-0.0358,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-2.0,-0.121,0.00747,-0.0365,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-1.8,-0.0925,0.0073,-0.0368,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-1.6,-0.0697,0.00727,-0.0357,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-1.4,-0.0359,0.00731,-0.0365,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-1.2,0.0139,0.00741,-0.0409,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-1.0,0.0872,0.00743,-0.0502,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-0.8,0.1685,0.00728,-0.0614,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-0.6,0.2136,0.00713,-0.0664,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-0.4,0.2504,0.00694,-0.0694,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-0.2,0.2753,0.00686,-0.0702,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
0.0,0.2993,0.00679,-0.0707,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
0.2,0.3223,0.00674,-0.0709,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
0.4,0.3444,0.00669,-0.0707,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
0.6,0.3659,0.00666,-0.0704,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
0.8,0.3869,0.00663,-0.0699,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
1.0,0.4078,0.00661,-0.0694,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
1.2,0.4286,0.0066,-0.0687,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
1.4,0.4487,0.0066,-0.0679,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
1.6,0.4671,0.00666,-0.0669,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
1.8,0.4856,0.00672,-0.0659,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
2.0,0.5041,0.0068,-0.0649,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
2.2,0.5226,0.0069,-0.0639,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
2.4,0.5411,0.00701,-0.0629,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
2.6,0.5597,0.00712,-0.062,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
2.8,0.5783,0.00725,-0.061,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
3.0,0.597,0.00738,-0.06,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
3.2,0.6157,0.00753,-0.0591,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
3.4,0.6345,0.00768,-0.0582,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
3.6,0.6533,0.00783,-0.0573,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
3.8,0.6721,0.008,-0.0563,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
4.0,0.6909,0.00817,-0.0554,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
4.2,0.7096,0.00834,-0.0545,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
4.4,0.7284,0.00852,-0.0536,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
4.6,0.7471,0.0087,-0.0526,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
4.8,0.7658,0.00888,-0.0517,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
5.0,0.7845,0.00907,-0.0507,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
5.2,0.8034,0.00925,-0.0498,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
5.4,0.8206,0.00947,-0.0487,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
5.6,0.838,0.00969,-0.0476,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
5.8,0.8557,0.0099,-0.0465,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
6.0,0.8734,0.01012,-0.0454,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
6.2,0.8893,0.01036,-0.0441,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
6.4,0.9062,0.0106,-0.0429,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
6.6,0.9211,0.01086,-0.0415,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
6.8,0.9362,0.01113,-0.0401,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
7.0,0.9503,0.01143,-0.0385,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
7.2,0.9632,0.01177,-0.0369,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
7.4,0.975,0.01219,-0.0351,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
7.6,0.9856,0.01273,-0.0331,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
7.8,0.9947,0.01342,-0.0311,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
8.0,1.0029,0.01428,-0.029,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
8.2,1.0108,0.01525,-0.0269,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
8.4,1.0186,0.01635,-0.0249,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
8.6,1.0273,0.01746,-0.023,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
8.8,1.0367,0.01868,-0.0213,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
9.0,1.0474,0.01992,-0.0198,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
9.2,1.0594,0.02122,-0.0186,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
9.4,1.0711,0.02242,-0.0172,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
9.6,1.0839,0.02377,-0.016,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
9.8,1.0991,0.02525,-0.0152,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
10.0,1.1133,0.02661,-0.0143,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
10.2,1.1282,0.02824,-0.0135,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
10.4,1.143,0.0297,-0.0127,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
10.6,1.1589,0.03157,-0.0121,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
10.8,1.1696,0.03317,-0.0108,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
11.0,1.1933,0.03523,-0.0115,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
11.2,1.2466,0.04245,-0.0147,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
11.4,1.2587,0.04404,-0.0137,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
11.6,1.2767,0.04588,-0.0136,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
11.8,1.2817,0.04811,-0.0119,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
12.0,1.2794,0.05014,-0.0093,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
12.2,1.277,0.05223,-0.0069,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
12.4,1.2738,0.05431,-0.0045,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
12.6,1.2706,0.05649,-0.0023,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
12.8,1.2695,0.05868,-0.0006,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
13.0,1.2899,0.061,-0.0011,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
13.2,1.2815,0.0639,0.0009,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
13.4,1.2639,0.0666,0.0032,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
13.6,1.2455,0.06964,0.0049,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
13.8,1.2264,0.07303,0.0059,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
14.0,1.2068,0.07681,0.0062,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
14.2,1.1868,0.08097,0.0058,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
14.4,1.1668,0.08554,0.0048,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
14.6,1.1471,0.09048,0.0032,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
14.8,0.9113,0.14186,-0.0325,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
15.4,0.8536,0.18425,-0.0559,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
15.6,0.8309,0.18714,-0.0623,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
15.8,0.8381,0.18978,-0.0631,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
16.0,0.8605,0.19289,-0.061,0.02,0.4,0.12,100000,NACA 2412,1.2899,13.0
-10.0,-0.2733,0.11552,-0.0387,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-9.8,-0.2726,0.11355,-0.038,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-9.6,-0.2773,0.11172,-0.0376,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-9.4,-0.2957,0.11053,-0.0381,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-9.2,-0.322,0.10971,-0.0386,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-9.0,-0.3002,0.10577,-0.0359,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-8.8,-0.2935,0.10389,-0.0339,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-8.6,-0.2982,0.1023,-0.0325,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-8.4,-0.3123,0.10096,-0.0317,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-8.2,-0.3387,0.10017,-0.0311,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-8.0,-0.3668,0.09949,-0.03,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-7.8,-0.3942,0.09881,-0.0282,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
-7.6,-0.4214,0.09769,-0.0278,0.04,0.4,0.12,100000,NACA 4412,1.4601,15.4
